,characteristics,rating,REF
643,"sandy, sweet, smokey",3.25,975
644,"acidic, sweet, cucumber",3.25,975
645,"sandy, sweet, spicy, roasty",3.25,975
646,"sandy, sweet, nutty",3.5,975
647,"true to sugar, molasses",2.5,1283
648,banana nut,2.75,1335
649,"oily, mild bitter, nutty, fruit",3.25,1736
650,"creamy, complex, fruity",3.75,1736
651,"deep cherry, earthy, rubbery",3.25,2466
652,"nutty, citrus",3.25,2466
653,"banana, spicy, grassy",3.5,2466
654,"bold, black tea, floral, banana",3.25,2502
655,"sticky, cocoa, honey",3.75,2656
656,"sticky, mild molasses, mango",3.5,2720
657,"mild molasses, creamy, caramel",3.5,2724
658,"floral, mild molasses, astringent",3.0,2724
659,rich malt,3.5,2522
660,"raspberry, cocoa",3.5,2522
661,"sandy, sweet, basic cocoa base",3.25,2526
662,"raisins, honey, molassses",3.5,2526
663,"deep cocoa, fruit, melon",3.75,2622
664,"vanilla, banana, citrus",3.25,785
665,"sandy, candy like vanilla, off",2.75,1654
666,"hammy, sour, astringent",2.75,1928
667,"floral, sour, synthetic, off",3.0,1610
668,"floral, banana",3.5,1610
669,"off, pungent, intense",2.25,1666
670,"oily, grapes, pungent",2.75,1666
671,"sweet, vinegar",2.5,2064
672,"harsh woody/green, cocoa base",2.5,2574
673,"fresh fruit, sour cherry, roasty",3.0,2574
674,"raisiny, slight anise, roasty",3.5,2574
675,"dried fruit, tannic",3.0,805
676,"grassy, green, candy spice",3.25,805
677,"spicy, fudgey",3.75,915
678,"acidic, sour, cocoa",2.75,1026
679,"licorice, sour, rich cocoa",3.25,1026
680,"roasty, oreo shell, coffee",3.5,1085
681,"mild smoke, raspberry,cocoa",3.5,1153
682,"heavy roast, blackberry",3.5,1219
683,"gummy, nutty, bourbon",3.5,1295
684,"roasty, spicy, nutty",2.75,1303
685,"cherry, rich choco",3.75,1387
686,"intense, roasty, coffee, raisin",3.0,1446
687,"cherry, rich choco",3.75,1816
688,"cocoa, sour, toffee, earthy",3.0,2024
689,"vegetal, high astringency",3.0,2178
690,"nutty, moderate acidity",3.25,2178
691,"ripe orange, citrus",3.5,2178
692,"green apple, sticky",3.5,2386
693,"dairy, honey, cocoa",3.5,2546
694,distinct choco and graham,4.0,2546
695,"grape, pungent",3.25,2550
696,"faint fruit, basic fudgey",3.5,2550
697,"pungent, woody, choco pudding",2.75,2602
698,"pungent, sour, tart, intense",2.75,2602
699,"orange soda, sour",3.25,2602
700,"grassy, fruity, brownie",3.25,654
701,"brownie, red berry",3.25,654
702,cocoa flavor dominates,3.25,654
703,"light caramel, sl. dry, earthy",3.0,2550
704,"dark woody, plum, astringent",3.0,423
705,"wood, holiday spice, soap",3.25,423
706,"oily, dried fruit, vanilla",3.5,661
707,"gummy, fatty, caramel",3.0,987
708,spicy,3.75,987
709,"oily, toffee, hints of fruit",3.75,987
710,"sweet spice, floral",4.0,987
711,"nutty, ashey, spicy pepper",3.25,991
712,"fatty, sunflower, peanutbutter",3.25,1223
713,"nut, tobacco, burnt, off notes",2.75,1920
714,"raisins, astringent",3.0,1920
715,"floral, licorice, roasty",3.25,1920
716,"muted, creamy, grapes, fatty",3.0,2342
717,"muted, creamy, basic cocoa",3.25,2342
718,"sweet, strong sour, acidic",3.0,1550
719,"roasty, nutty, sweet",3.25,1550
720,"intense, sweet, brownie",3.0,1554
721,"bold, floral, rum",3.25,1554
722,"mild cherry, fatty",3.25,1708
723,"nice melt, odd rubber notes",3.25,907
724,"vanilla, fatty, basic cocoa",2.5,1093
725,"chalky, vanilla, caramel",2.75,1093
726,"fatty, powdery, nut, sl. Burnt",2.75,1093
727,"texture issues, brownie",3.5,1462
728,"one dimensional, brownie",3.5,1462
729,"high roast, intense, fatty",2.5,1832
730,"high roast, fruit",3.0,1832
731,"sandy, cloying, rich cocoa",2.5,170
732,"dark coffee, cocoa",3.0,175
733,"cinamon, nutmeg, coffee",3.0,175
734,"nutty, simple, sweet",3.0,175
735,"waxy, tobacco, smokey",3.0,180
736,"mild mint, basic cocoa",3.0,180
737,"fatty, rich cocoa, roasty",3.75,263
738,"smokey,chalky,berry,caramel",3.0,423
739,"metallic, dirt/ earthy",2.5,2222
740,"dirty, floral, unrefined",2.5,2222
741,"mild bitter, fatty, grassy",3.0,2222
742,"vanilla, chemical, rubber",2.5,1916
743,"smokey, roasty, acidic, rich",3.0,2422
744,"red berry, lingering coffee",3.5,166
745,"sticky, woodsy, rum",3.5,166
746,"intense fruit, bitter ending",2.75,241
747,"sandy, flat, hint of berry",2.75,661
748,"sticky, very roasty, nutty",2.75,682
749,"earthy, tart, sour",3.0,769
750,"grassy, tea, late sour",3.25,769
751,"dry, mint, medicinal",2.75,895
752,"oily, black pepper, roasty",3.25,1034
753,"butter, floral, rum",3.5,1193
754,"mild fruit and spice, roasty",3.5,1235
755,"sticky, rich, cherry",3.75,1634
756,"tropical berry, intense",3.5,1864
757,"blackberry, raisns",3.75,1952
758,"sticky, roasty nibs, grapes",3.75,1972
759,"well defined, creamy, cherry",4.0,2016
760,"cocoa, tea, malt",3.75,2258
761,"creamy, sticky, dried fruit",4.0,2270
762,"sticky, dried fruit, toast, cocoa",3.75,2434
763,"burnt honey, earthy",3.5,2466
764,"sl. bitter, black licorice, dried fig",3.75,2554
765,"dried fruit, fig, astringent, sticky",4.0,2656
766,"sl sour, grassy, off, fatty",3.0,2732
767,"peanut butter, dirty",2.75,2736
768,"sweet, fatty, rancid",2.75,2740
769,"earthy, astringent, metallic",2.5,2740
770,"cocoa, raw, dirty, chemical",2.75,2402
771,"complex, sweet, sour, grassy",3.0,2402
772,"late cocoa, harsh, off notes",2.5,2406
773,"bland, fatty, fruit",3.0,2406
774,"mild cherry, earthy",3.25,1371
775,"fatty, rasin, nutty",3.25,1371
776,"nutty, caramel, toffee",3.5,1407
777,"intense, spicy, floral",3.0,1688
778,"creamy, nutty, fruity",3.75,311
779,"acidic, astringent, unpleasant",1.5,63
780,"sticky, floral",3.0,304
781,"long lasting, fruit",3.0,87
782,"floral, olive",3.25,87
783,"creamy, basic cocoa",3.5,87
784,"creamy, complex, coffee",4.0,111
785,"sticky, smoke, ham, earthy",3.25,129
786,"mild spice, licorice",3.25,135
787,"fruity, basic cocoa",3.5,135
788,"smooth, banana, cocoa",3.5,192
789,"creamy, smokey, tobacco",3.75,192
790,"creamy, nuts, woody, cocoa",4.0,192
791,"creamy, mint, tobacco, olive",4.0,192
792,"cucumber, hot spices",3.0,227
793,"creamy, woody, earthy",3.0,272
794,"sticky, grassy, coffee",3.5,272
795,"sticky, olive",3.75,272
796,"subtle, caramel, sour milk",3.0,470
797,"smooth, intense, smoke, nut",3.5,693
798,"sticky, nutty",3.5,863
799,"creamy, coffee, caramel",3.75,863
800,"smooth, fruit, coffee, bitter",3.0,1109
801,"floral, well developed, creamy",3.75,1672
802,"nutty, strawberry, creamy",3.75,1672
803,"creamy, sticky, fruit",4.0,2040
804,"grassy, herbal, tea",3.5,2748
805,"burnt rubber, molasses",2.5,1672
806,"bitter,molasses,marshmallow",2.75,1676
807,"fruity, molasses",2.75,1676
808,"licorice, molasses, rubber",2.75,1880
809,molasses notes from sugar,2.75,2052
810,"near perfect shine, cocoa",3.5,2052
811,"molasses, fruit",3.5,2096
812,molasses notes dominate,3.25,2696
813,"dry, earthy, walnut",2.5,2390
814,"dry, sour, sweet, mild fruit",2.75,2390
815,"dry, cocoa, grassy, spicy",3.0,2390
816,"tobacco, roasty, hint of fruit",3.25,2752
817,"earthy, dirty",2.75,2752
818,"rich brownie, roasty, coffee",3.25,2752
819,caramel and cocoa,3.5,516
820,"rich cocoa, fruity, strong floral",3.75,516
821,"chalky, bread, dirt",2.5,523
822,"dark forest berry, spice",3.75,523
823,"dried fruit, grapes, sour",3.75,623
824,"heavy roast, woody, berry",3.5,661
825,"licorice, leathery",3.0,697
826,"intense, almond, coffee",3.25,697
827,intense cocoa,3.5,765
828,"creamy, nutty",3.75,923
829,"sandy, full bodied, spicy",3.5,1331
830,"black pepper, rich, intense",3.75,1331
831,"intense, spicy, butterscotch",4.0,1662
832,candy like off flavor,2.75,1964
833,"intense earthy, cocoa, roasty",3.25,2100
834,"cocoa, honey, watery, sweet",3.5,2366
835,"fruit, holiday spice",3.5,2648
836,"coarse, earthy, mild banana",3.25,1506
837,"fatty, muted",2.75,841
838,"sandy, orange, butterscotch",3.5,1626
839,"fatty, roasty, intense brownie",3.5,1626
840,"dates, acidic, rich cocoa",3.25,1630
841,"cherry, earthy, tobacco",3.25,1630
842,blackberry and cinnamon,4.0,1630
843,"smoth, dense, grape",4.0,2040
844,"accidental spicy (Kulfi?), burn",3.0,2744
845,"waxy, spicy, tobacco",3.25,1343
846,ultra fruity,3.5,1343
847,"spicy, cocoa",3.75,1343
848,"dried fruit, strong floral",3.25,1812
849,"mild, dried fruit, chocolate",3.25,1812
850,"buttery, burlap",2.75,919
851,"nutty, almond butter",3.5,2358
852,"dry, gritty, cardboard, nutty",3.0,1876
853,"molasses, red fruit, astringent",3.0,2534
854,"cocoa, spice, alcohol, dirty",3.0,2534
855,"lemon, tart, burnt, chemical",2.75,252
856,"nutty, rich, red berry",3.75,709
857,"gritty, chalky, earthy, sour",2.75,32
858,"sandy, banana, sour",2.5,206
859,"gritty, sweet, banana, smoke",2.5,206
860,"muted, cherry, banana",3.0,206
861,"very sweet, marshmallow",2.75,439
862,"sandy,bold,cherry,peanut butter",3.0,439
863,"spicy, caramel, vanilla",3.75,1662
864,"cocoa, fig notes",3.5,2382
865,"heavy roast, choco, coffee-like",3.5,2724
866,"roasty, hammy, sour",3.25,2724
867,"dried fruit, raisiny, mild roast",3.5,2728
868,"fatty, floral, rum, roasty",3.0,2728
869,"dominate roast, fruit then earthy",3.0,2728
870,"simple, mild caramel, choco",3.75,2728
871,"low refinement, too sweet",2.75,1137
872,"sandy, tannic, earthy",3.25,1137
873,"coarse, woody, roasty",3.0,1450
874,"brownine, nutty",3.5,1454
875,"simple, mild cocoa, fruit",3.5,2108
876,"spicy, sweet,",3.5,2108
877,"earthy, floral, cocoa",3.25,2114
878,"fruity, roasty",3.5,2118
879,"carrots, heavy roast",3.25,1916
880,"intens, brownie, spicy, metal",3.0,2198
881,"dirty, earthy, burnt, honey",2.5,2350
882,"fruit, dirty",3.0,2350
883,"muddy, raisins, nut, rubbery",3.5,2350
884,"unrefined, crumbly, sweet",3.25,565
885,"spicy, green, long, intense",3.25,1205
886,"mild bitter, smoke, hammy",3.0,1209
887,"grit,smoke, wood, blackberry",3.25,1209
888,"woody, cocoa",3.0,252
889,"sticky, slight plum, medicinal",2.0,414
890,"hazelnut, fruit, slight bitter",3.5,423
891,"sweet, vanilla, sticky",2.75,431
892,"nutty, ginger, off notes",2.75,903
893,"sweet, too few nibs, cocoa",3.0,2570
894,"mild licorice, late mocha",3.5,2570
895,"gritty,overyly sweet,fruit punch",2.5,666
896,"grits, very sweet, banana",2.5,666
897,"strong vanilla, strawberry, nut",2.5,666
898,"sweet, vanilla, mild banana",2.75,666
899,"gritty, sweet, vanilla, woody",2.5,672
900,"mild fruit, earthy",3.0,1275
901,"spicy, roasty, mild bitter",3.5,1275
902,"coarse, mild bitter, raisin",3.75,1275
903,prominent plum note,3.5,2142
904,"sandy, basic cocoa, sweet",3.0,2664
905,dominated by heavy roast,3.0,2450
906,"perfume, floral, vanilla",2.75,565
907,"roasty, spicy, nutty",3.0,1732
908,"fatty, sandy, nutty, off notes",2.5,1736
909,"metallic, off notes, powdery",2.75,1736
910,"basic cocoa, short length",3.0,48
911,"creamy, floral, complex",3.0,48
912,"fatty, rich, spice, nutty",3.5,48
913,"complex, raspberry, cocoa",4.0,56
914,"malitol, cocoa",2.0,105
915,"creamy, roasty, cocoa",3.0,105
916,"spicey, marshmallow",3.5,494
917,"intense, molasses, sweet",2.25,1283
918,"molasses, licorice, bitter",3.0,1283
919,"sandy, sweet, mild fruit",3.25,1283
920,"intense, molasses, bitter",2.5,1287
921,"off, hammy, roasty",2.75,2474
922,"banana, bland, sour, off",3.0,2478
923,"nutty, melon, vinegar",2.75,2482
924,"fruit, cocoa, fatty",3.25,2486
925,"caramel, acidic, creamy",3.5,2394
926,"creamy, honey, mild hammy",3.25,2398
927,"plums, cocoa",3.5,2398
928,"cherry, cocoa, creamy",3.75,2398
929,"roasty, simple",3.5,2150
930,"hammy, dried fruit",2.75,2154
931,"hammy, large grits",2.75,2154
932,"high acidity, bitter, nutty",3.0,2154
933,"molasses, sour notes",3.0,2202
934,"muted, mild sweet cocoa",3.5,2206
935,"fruit, spicy mild molasses",3.5,2206
936,"coconut, true to sugar bar",2.75,1267
937,"strong vanilla, earthy, nutty",2.75,1776
938,"vanilla, dried fruit, nuts",2.75,1776
939,"gummy, bland, sour",2.75,1772
940,"sticky, floral",3.5,1776
941,"gummy, sandy, complex",3.75,1776
942,"nuts, sour milk",3.0,2072
943,"sandy, powdery, late sour",3.0,2072
944,"sandy, dried fruit, roasty",3.25,2072
945,"roasty, hazelnut, cocoa",3.5,2072
946,"coffee, acidic, astringent",2.75,2076
947,"sticky, dried sour fruit, roasty",3.0,2430
948,"roasted nuts, citrus, creamy",3.5,2430
949,"dried fruit (fig), black licorice",3.5,2712
950,"dairy, cocoa, mild sour",3.5,2712
951,"off, tropical, vegetal, rubbery",3.0,2318
952,"nutty, bland, late sour",3.25,2318
953,"honey, mild floral, mild off",3.0,2322
954,"fruit, smokey, mocha",3.0,2322
955,"dirty, roasty, acidic",3.0,2322
956,"floral, orange, cocoa",3.75,2322
957,"fig, mild anise",3.75,2326
958,"nutty, dried fruit",3.75,911
959,"grits, hazelnut, rum",3.5,915
960,"intense, tobacco, nuts",3.5,1355
961,"caramel, dairy",3.75,1355
962,"large grits, sweet",2.5,2044
963,large grits,3.0,2100
964,"dried fruit, large grits",3.25,2100
965,nutty,3.5,2118
966,"sl. dry, gritty, fruity, nuts",3.0,2122
967,"coarse, hazelnut, peanut",3.5,1351
968,banana,3.5,1351
969,"few grits, spicy, cocoa",3.5,1538
970,"very coarse, intense, spice",3.5,1538
971,"intense, bitter, off notes",3.0,1542
972,"coarse,perfume,heavy roast",3.5,781
973,choco covered strawberry,3.5,785
974,"fruit, cough medicine",2.5,883
975,"olive, rum",3.5,883
976,"sandpaper, some fruit, bitter",2.0,887
977,"spice, citrus, sweet",3.5,1042
978,"mild bitter, roasty, red berry",3.0,1209
979,"sweet, tobacco",3.25,1295
980,"roasty, grapes, rich brownie",3.5,1634
981,"slight dry, citrus, grapefruit",3.5,1940
982,"tea, spicy, sweet",3.25,2430
983,"slightly burnt, earthy",2.75,370
984,"creamy, simple, nutty",3.0,370
985,"creamy, roasty, tobacco",3.25,370
986,"complex, mild licorice, spice",3.5,370
987,"mild bitter, mild cocoa, roasty",2.75,636
988,"grassy, brownie, astringent",3.25,642
989,"red berry, some roasty notes",3.5,642
990,"woody, grassy, long",3.5,642
991,"woody, red fruit, sour",2.75,682
992,"spicy, cocoa",3.25,682
993,"sandy, cocoa, red fruit",3.0,688
994,"bready, nutty, earthy,intense",3.25,745
995,"tart, roasted cocoa",4.0,745
996,mild smoke and fruit,3.5,899
997,"smoke, fruit, sour, hammy",3.5,899
998,"caramel, nuts, dried fruit",4.0,915
999,"tart, red berry, smoke",4.0,927
1000,"sandy, smoke, red berry",3.0,931
1001,mildly burnt caramel,3.25,1030
1002,"blackberries, caramel, roasty",3.75,1081
1003,cocoa and fresh grapes,3.75,1117
1004,chocolate covered banana,4.0,1149
1005,"light color, leathery flavor",3.0,1383
1006,"orange, mellow but flavorful",3.5,1383
1007,"fruity, floral, caramel",3.5,1383
1008,"slow develop, caramel, roasty",3.5,1387
1009,"rich cocoa, mild, fatty",3.5,2024
1010,"long lasting, fruit, spicy",3.75,2024
1011,"rich cocoa, nuts",3.5,2028
1012,"roasty, mild fatty",3.25,2174
1013,"complex, nuts, spice, floral",3.5,2174
1014,"coconut, high astringency",3.25,2642
1015,"fudgey, spicey, nutty",3.5,2642
1016,"oily, black licorice, spicey",3.5,2644
1017,"rich chocolate, late spice notes",3.75,2644
1018,"robust cocoa, dried cranberry",4.0,2644
1019,"raspberry, mild sour, cocoa",3.5,2704
1020,"licorice, caramel, floral, dirty",3.0,2708
1021,"spicey, herbal, ripe, sl. burnt",3.25,2708
1022,"creamy, fragrant",3.5,2000
1023,"creamy, simple, strong choco",3.75,2000
1024,"spice, fatty, mild cocoa",3.5,1375
1025,"strong fruit, ham, deep cocoa",3.5,1375
1026,"banana, yogurt, cocoa",4.0,1375
1027,"vegetal, herbs, raw",3.5,1912
1028,"creamy, black pepper, nut",3.75,1956
1029,"unique flavor, floral-spice mix",3.5,2122
1030,"strong cocoa, orange citrus",3.75,2122
1031,"sweet, metallic",3.0,2126
1032,"woody, grassy, spicy",3.25,2126
1033,"cocoa, savory",3.75,2126
1034,"honey, deep cocoa",4.0,2126
1035,"floral, sticky",3.0,2130
1036,"delicate, balanced",3.5,2130
1037,"black pepper,high astringency",3.75,2130
1038,"banana,dairy, cocoa",4.0,2130
1039,"high acidity, grassy",3.25,2134
1040,"cocoa, roasty, sweet, fruit, spice",3.5,2720
1041,"pungent, sour cherry",3.5,2720
1042,"caramel, cocoa, fruit",3.75,2720
1043,"fatty, leathery, earthy",3.25,623
1044,"tobacco, woody, wild berry",3.5,623
1045,"roasty, fatty, woody",3.5,623
1046,"intense olive, citrus, vegetal",3.25,895
1047,"spicy, earthy",3.25,899
1048,"oily, fatty, bold olive",3.25,899
1049,"oily, gritty, savory",3.75,923
1050,"oily, burnt black pepper",3.25,1034
1051,baked bread,3.5,1034
1052,"mild fatty, nutty, roasty",3.5,1259
1053,"oily, sweet, dairy, bland",3.0,1680
1054,"oily, spicy, sour",3.25,1680
1055,"cocoa, spicy, sweet",3.25,753
1056,"fatty, sweet, vanilla",3.0,781
1057,"oily, tart, chlorine",2.5,863
1058,"dried fruit, intense",3.75,1046
1059,"sandy,sweet, molasses,floral",3.0,1185
1060,"delicate, hebs, choco",3.75,1347
1061,"acidic, undefined, brownie, off",3.0,1359
1062,"oily, tropical",3.75,1780
1063,"oily, dried fruit, leather",4.0,1780
1064,"balanced, fruit, nut, roasty",3.75,2278
1065,"black current,bitter,astringent",3.5,2366
1066,"sl. bitter up front, fatty, intense",3.25,2550
1067,"dried fruit, cocoa base, fatty",3.75,2554
1068,"black licorice, tangy",3.75,2664
1069,cheesy off flavor,2.5,2174
1070,"grainy texture, sour, hammy",3.0,2190
1071,"accessible, sweet, sandy",3.0,2202
1072,"dried fruit, cocoa",3.5,2202
1073,"gritty, ambiguous",2.5,1367
1074,"sandy, sweet, candy tart",3.25,1642
1075,cocoa and coconut,4.0,1642
1076,"sticky, spice, roasty, earthy",3.5,1646
1077,"deep cocoa, fruit, spice",3.5,1646
1078,"red fruit, tart, fat, leathery",3.5,1646
1079,"chewy, woody, rustic",3.5,2012
1080,"fatty, creamy, roasty",3.5,2012
1081,"dry, grainy, spicy, roasty",2.75,2096
1082,"earthy, roasty, strong vanilla",2.75,2282
1083,"mild woody, black licorice",3.0,1672
1084,"mild strawberry, cocoa",3.5,1848
1085,"sour off flavor, nutty, earthy",2.75,1924
1086,"sweet edge, bright fruit, sour",3.25,1924
1087,"mild molasses, rich, gateway",3.25,1924
1088,"creamy, fig",3.25,2032
1089,"acidic, mildly burnt, metallic",2.5,2446
1090,"floral, rubbery, woody",3.0,2446
1091,"banana, cocoa, late floral",3.75,2602
1092,"fruit, tart, rubber",2.75,2194
1093,"sweet, dominate cocoa, spice",3.0,2642
1094,spice/herb dominate cocoa base,3.25,2642
1095,"sandy, sweet, earthy,deep cocoa",3.25,2644
1096,"fatty, vanilla, dairy",3.0,741
1097,"fruity, cocoa, sweet",3.5,2692
1098,"nutty, spicy, candied orange",3.5,2692
1099,"dried fruit, orange peel, cocoa",3.5,2692
1100,"roasty, sweet, fruity, cocoa",3.5,2696
1101,"mildly rich, basic, roasty",2.5,15
1102,"rich, coffee, cherry",3.5,1896
1103,"sour grapes, pungent, ashey",2.5,2382
1104,"spicy, vanilla",3.0,2696
1105,"very sour, grassy, fatty",2.5,241
1106,"very sweet, coffee, mild sour",2.75,363
1107,"chunky, muted, mild bitter",3.25,494
1108,"sl. sweet, nutty, off note",3.0,355
1109,"hot cocoa, very nutty",3.0,355
1110,"light perfume, mild, sweet",3.0,355
1111,"gritty, roasty, strong coffee",3.0,355
1112,"mild nutty, spicy, brownie",3.25,355
1113,"earthy, chemical or burnt note",2.75,2060
1114,"creamy, sweet, floral, vanilla",3.0,15
1115,"sweet, creamy, vanilla",2.5,87
1116,"creamy, sweet, blueberry",3.5,87
1117,"creamy, blackberry",3.5,93
1118,"sweet, rich cocoa, mild citrus",3.5,93
1119,"fatty, cocoa, fruity",3.0,99
1120,"creamy,sandy,nutmeg, moss",3.5,147
1121,"sweet, vanilla, rich",3.0,259
1122,"perfume, vanilla",3.0,276
1123,"creamy, nutty",3.5,276
1124,"sweet, mild lemon",3.0,316
1125,"bitter, fatty, fruit",3.0,387
1126,"complex, fruit, nut, raisin",3.5,387
1127,"creamy, mild tobacco, ham",3.0,552
1128,"dutched?, intense, rich cocoa",2.75,654
1129,"sweet, creamy, floral, orange",3.25,654
1130,"dry, sticky, brownie",3.25,654
1131,"creamy, sl. Burnt, roasty",2.75,1053
1132,"floral, over roasted, harsh",2.75,1053
1133,"sweet, vanilla, cocoa",3.25,1053
1134,"very spicy, roasty",3.5,1053
1135,"nutty, black licorice",3.75,1602
1136,"smokey, cherries, sour",2.75,1197
1137,"XL nibs, sour, cardboard",2.75,1197
1138,"chalky, berry, cocoa",3.25,1197
1139,"sandy, intense, cherry",3.5,1197
1140,"molasses, sweet, long,cocoa",2.75,1201
1141,"fatty, nutty, earthy",3.0,1201
1142,"sandy, roasted vegetal",3.0,1201
1143,"muted, mild fruit, sweet",3.25,1201
1144,"unrefined, bitter, earthy",2.0,1205
1145,"buttery, floral, burnt",2.5,166
1146,"overyly sweet, banana, yogurt",2.75,1327
1147,"chewy, fatty, sweet, nutty",3.0,1327
1148,"vanilla, chocolate milk",3.0,701
1149,"sandy, sweet, dried fruit",3.0,1696
1150,"rich chocolate, sweet edge",3.5,1700
1151,"rich chocolate, sandy texture",3.5,1700
1152,"powdery, rich, coffee, roasty",3.25,1808
1153,"flat, late tart notes",3.0,2040
1154,"sandy, brownie, coconut",3.25,2270
1155,"sandy, sweet, cocoa",3.0,2330
1156,"deep cocoa, nutty, earthy",3.25,2752
1157,"fruit, cocoa, lemony",3.5,2756
1158,"spicy, earthy, grassy, astringent",3.25,2756
1159,"too sweet, off, rubbery",2.75,2756
1160,"cocoa, fatty, fruit",3.25,2378
1161,"earthy, dirty, dried fruit",3.5,2378
1162,"pungent, chemical",2.75,2382
1163,"delicate, carame, tang",3.5,2606
1164,"powdery, vanilla, artificial",2.75,1876
1165,"rubber, fatty, sandy,grape",2.5,2302
1166,"nutty, sweet, fatty, sandy",3.0,2302
1167,"sandy, fatty, chemical",2.5,2306
1168,"pungent raisin, metallic",3.25,1748
1169,"mostly earthy, mild dried fruit",3.5,1748
1170,full flavor spectrum,3.5,1239
1171,"woody, earthy, medicinal",3.0,1243
1172,"nutty, butterscotch",3.75,1243
1173,"spicy, intense, fades fast",3.75,1243
1174,"astringent, smoke, cream",3.5,1744
1175,floral,3.5,1744
1176,"strong floral, black licorice",3.5,1748
1177,"creamy, mild nutty & woody",3.75,1744
1178,"dark berry, honey, cream",4.0,1744
1179,"too sweet, spicy, candied",2.75,1458
1180,"sandy, sweet, mild fruit",3.5,1462
1181,"harsh, earthy, dirty",2.75,2614
1182,"delicate fruit, black tea",3.25,2614
1183,"intense, palm, earthy",2.75,1546
1184,"sandy, tart, tangy, palm",3.0,1546
1185,"intense, palm, nutty",3.0,1546
1186,"floral, palm, sour",3.25,1550
1187,"palm, spicy, flour",3.25,1550
1188,"harsh flavor, hay",2.5,2146
1189,"fruity, tannic, coconut",3.5,2146
1190,"light color, sour, pungent",2.25,2150
1191,"sour, citrus, molasses",2.75,2150
1192,"lemon, late sour & molasses",3.0,2150
1193,"sour, earthy",2.75,1712
1194,"nutty, off notes",2.75,1712
1195,"intense, bitter, coffee",3.25,1712
1196,"mild caramel, honey",3.5,1712
1197,"high acid,sweet,nut,strawberry",3.25,2426
1198,"butterscotch, burnt cinnamon",3.5,2450
1199,"perfume, burning",2.0,414
1200,"sandy, perfume, nutty",2.5,414
1201,"dry, floral, slight musty",3.0,414
1202,"dry, intense floral, spciy",3.25,414
1203,"dry, nutty, sweet",3.5,414
1204,"dry, sour, cheesey, off",2.5,431
1205,"sandy, red berry, sour",2.75,431
1206,"coffee, red berry, tart",3.5,431
1207,"red berry, cocoa, mild coffee",3.75,431
1208,"floral, roasty, coffee",3.5,1466
1209,"rich cocoa, fatty",3.5,1466
1210,"creamy, nutty, tea, fatty",3.5,1466
1211,"muted, fatty, nutty",3.5,1466
1212,"sour, raw, green",2.75,1872
1213,"true to sugar, green, fatty",2.5,1327
1214,cardamon,4.0,1030
1215,"pastey, bitter, unfixable",1.75,1113
1216,"smoke, cocoa, fruit, fuel",2.75,1654
1217,"dry, woody, dried fruit",2.75,2134
1218,"sour raisin, woody, fatty",3.0,2386
1219,"fatty, mild bitter, banana",3.0,2386
1220,"grassy, tobacco, intense",3.0,245
1221,"charred, espresso",2.5,296
1222,"sandy, sweet, mild cocoa",2.75,296
1223,"fungal, mushroom, mild burn",3.0,300
1224,"spicy, sour, burning",2.75,552
1225,"earthy, woody, sour mint",3.0,552
1226,"ashey, woody, bright red",2.75,600
1227,"mild bitter, floral",3.0,623
1228,"woody, nutty, short",3.0,623
1229,"sweet, cocoa, grassy",3.25,623
1230,"sweet, red berry, sour",3.5,809
1231,"sandy, vegetal, sour",3.0,1038
1232,"tart, fruity, intense",3.5,1038
1233,"oily, leathery, intense bitter",3.0,1065
1234,"nutty, mild coffee",3.0,1065
1235,"oily, spicy, sl. Burnt",3.5,1065
1236,"spice,cocoa, tolerable bitter",2.75,1109
1237,"candy,uncontrolled bitterness",2.5,1113
1238,"trop. Fruit, coffee, bitter",2.75,1113
1239,"fatty, gritty, roasty",3.25,1097
1240,"nutty, coffee, rich",3.75,1097
1241,"intense, cherry, metallic",3.0,1307
1242,"woody, floral, metallic",3.0,1311
1243,"earthy, metallic edge",3.0,1311
1244,"raisins, rich choco",3.75,1311
1245,"spicy, mild fruit, fatty",3.5,1387
1246,"spicy, mild roasty",3.5,1542
1247,"creamy, cocoa, lemon",3.75,725
1248,"creamy, roasted nuts, fatty",3.75,725
1249,"creamy, sour, raisin",3.25,729
1250,"creamy, nutty, cocoa",3.75,733
1251,"creamy, nutty, delicate fruit",4.0,733
1252,"creamy, nutty, muted",3.5,737
1253,"creamy, nutty, fruity",4.0,737
1254,"peanut, coffee, cocoa, bread",4.0,737
1255,"creamy, nutty, earthy",4.0,737
1256,"fatty, rich, berry notes",3.75,1085
1257,"sour, sweet, rubber",2.5,1788
1258,"buttery, intense, spice, roasty",3.0,1255
1259,"molasses, roasty",3.25,2008
1260,"very sandy, sweet, spicy",2.75,943
1261,"sandy, caramel",3.0,943
1262,"intense, tart, earthy",3.5,1275
1263,"off notes, pungent",2.25,1279
1264,"mild metallic, spice, tea",3.25,1279
1265,"roasty, nutty, spicy",3.25,1279
1266,"woody, meaty, vegetal",2.75,2250
1267,"intense, cherry, rich, metallic",3.5,1542
1268,"intense, molasses, fruit",2.75,1546
1269,"gritty, unrefined, off notes",2.0,5
1270,"sandy, sweet",3.25,2146
1271,"dairy, nutty, butterscotch",3.5,1972
1272,"candy like, sweet, dairy",3.0,1976
1273,"floral, tobacco, candied",3.0,1976
1274,"sweet, fruity, vanilla",3.5,1976
1275,"floral, bourbon, salt",3.5,1980
